set_code,name,population,index_value,eco_level
1323,בת הדר,704,0.936,7
358,יד מרדכי,656,0.949,7
584,זיקים,625,1.041,8
744,תלמי יפה,805,1.08,8
824,כוכב מיכאל,992,1.304,8
1242,נתיב העשרה,805,1.477,8
706,גיאה,929,1.489,8
699,ניר ישראל,853,1.531,8
212,בית צבי,201,-2.903,1
102,מאיר שפיה,317,-1.637,1
1320,עין חוד,273,-0.917,2
427,כפר גלים,294,-0.897,2
694,מעגן מיכאל,1878,-0.853,3
769,ניר עציון,899,-0.697,3
327,שדות ים,931,-0.025,5
612,צרופה,1093,0.815,7
312,נווה ים,252,0.829,7
810,עופר,639,0.855,7
317,בית אורן,452,0.975,8
53,עתלית,6814,0.983,8
433,נחשולים,642,1.081,8
74,עין הוד,590,1.113,8
290,מעיין צבי,671,1.137,8
33,בת שלמה,608,1.207,8
426,עין כרמל,894,1.257,8
434,החותרים,720,1.294,8
689,מגדים,1277,1.315,8
683,גבע כרמל,1166,1.4,8
738,דור,398,1.433,8
800,בית חנניה,901,1.608,8
687,עין איילה,1127,1.687,9
580,"כרם מהר""ל",706,1.765,9
675,הבונים,345,1.792,9
1167,קיסריה,4853,2.09,9
287,תל יצחק,950,-0.208,4
842,געש,682,0.329,6
232,שפיים,1208,0.781,7
1024,חרוצים,876,1.026,8
417,יקום,703,1.026,8
346,גליל ים,453,1.137,8
446,אודים,1306,1.627,9
288,בית יהושע,1062,1.683,9
247,רשפון,1402,1.813,9
316,כפר נטר,1157,1.941,9
418,בני ציון,1392,2.002,9
389,בצרה,1118,2.064,9
1324,ארסוף,154,2.645,10
1339,אל-עזי,184,-1.393,2
2045,נחלה,588,0.423,6
16,בית ניר,580,0.733,7
1133,ורדון,264,0.788,7
340,גת (קיבוץ),685,0.841,7
619,בית גוברין,436,0.885,7
393,גלאון,378,0.927,7
2046,סגולה,689,0.953,7
564,רבדים,653,1.011,8
315,נגבה,881,1.015,8
293,שדה יואב,442,1.041,8
274,כפר מנחם,1296,1.157,8
888,"כפר הרי""ף",852,1.671,9
767,פורת,1206,-0.223,4
170,כפר יעבץ,665,0.03,5
837,עזריאל,859,0.404,6
2002,תנובות,829,0.666,7
379,גאולים,896,0.846,7
661,שער אפרים,1742,0.885,7
851,ניצני עוז,1105,0.963,7
753,ינוב,909,0.985,8
880,עין שריד,1566,1.174,8
447,נורדייה,1941,1.259,8
386,בני דרור,1216,1.443,8
1044,יעף,291,1.465,8
276,צור משה,3114,1.602,8
549,גנות הדר,909,1.637,9
187,כפר הס,1581,1.681,9
157,עין ורד,1470,1.713,9
425,משמרת,1054,1.714,9
162,חירות,1266,1.778,9
814,תלמים,896,-0.427,3
32,עוצם,521,-0.402,4
36,שדה דוד,378,-0.387,4
1369,נטע,453,-0.18,5
1368,בני דקלים,659,0.001,5
2030,מנוחה,528,0.044,5
821,אחוזם,517,0.091,5
23,אמציה,569,0.092,5
44,זוהר,349,0.196,6
55,נוגה,546,0.265,6
7,שחר,838,0.565,7
309,נהורה,1136,0.613,7
1365,אליאב,257,0.921,7
18,שדה משה,736,1.023,8
11,"ניר ח""ן",503,1.109,8
1233,שקף,382,1.126,8
775,יד נתן,604,1.294,8
24,לכיש,712,1.783,9
730,אליפלט,554,0.369,6
843,מרגליות,393,0.501,6
2009,יובל,634,0.594,7
2063,דישון,354,0.605,7
861,שדה אליעזר,811,0.894,7
732,משמר הירדן,678,0.898,7
1253,אמנון,289,0.937,7
372,רמות נפתלי,549,0.954,7
324,שאר ישוב,644,1.014,8
1285,כרכום,564,1.186,8
322,בית הלל,765,1.22,8
1252,כורזים,357,1.317,8
1210,כחל,358,1.452,8
130,משמר העמק,1216,-0.486,3
270,עין השופט,821,-0.423,3
369,גלעד (אבן יצחק),463,-0.354,4
682,אליקים,857,0.044,5
250,הזורע,842,0.075,5
703,גבעת עוז,469,0.159,6
300,דלייה,792,0.313,6
2029,מדרך עוז,748,0.67,7
335,רמת השופט,1011,1.015,8
367,עין העמק,749,1.124,8
445,רמות מנשה,1091,1.132,8
586,מגידו,847,1.251,8
241,יקנעם (מושבה),1345,1.715,9
3786,אבנת,128,0.136,5
3645,בית הערבה,159,0.446,6
3639,ורד יריחו,239,0.508,7
3556,אלמוג,207,0.577,7
3601,קליה,394,0.96,7
3610,מצפה שלם,173,0.977,8
658,שייח' דנון,2742,-0.916,2
1246,עראמשה,1604,-0.854,3
376,עברון,745,-0.215,4
1183,כליל,572,0.012,5
785,אחיהוד,822,0.026,5
289,עין המפרץ,1197,0.095,5
708,עמקה,644,0.159,6
297,כפר מסריק,754,0.216,6
572,בית העמק,511,0.31,6
313,אפק,562,0.517,7
280,חניתה,724,0.631,7
409,יחיעם,587,0.687,7
576,כברי,991,0.77,7
432,שמרת,436,0.807,7
595,לוחמי הגיטאות,532,0.909,7
463,געתון,568,0.937,7
792,נתיב השיירה,488,0.952,7
454,סער,780,0.99,8
1143,נס עמים,181,0.996,8
1256,אשרת,465,1.058,8
589,בצת,250,1.077,8
294,אילון,962,1.078,8
390,רגבה,1038,1.133,8
579,כפר ראש הנקרה,1271,1.151,8
559,בוסתן הגליל,961,1.174,8
574,גשר הזיו,1542,1.184,8
575,יסעור,697,1.185,8
674,לימן,729,1.194,8
325,מצובה,1116,1.236,8
712,בן עמי,745,1.328,8
1068,אדמית,175,1.523,8
282,שבי ציון,1011,1.594,8
3648,מתתיהו,698,-1.467,2
3779,כוכב יעקב,7313,-1.446,2
3767,נחליאל,665,-1.165,2
3752,מעלה לבונה,766,-1.003,2
3823,גני מודיעין,2347,-0.745,3
3576,מצפה יריחו,2307,-0.615,3
3641,שילה,3379,-0.528,3
3765,עלי,4092,-0.525,3
3564,כוכב השחר,1945,-0.483,3
3709,מבוא חורון,2517,-0.458,3
3658,עטרת,894,-0.443,3
3788,טלמון,3704,-0.351,4
3763,גבע בנימין,5232,-0.305,4
3651,מעלה מכמש,1351,-0.076,5
3659,פסגות,1902,-0.071,5
3617,עפרה,3189,-0.042,5
3747,דולב,1302,0.119,5
3573,חלמיש,1278,0.32,6
3565,רימונים,598,0.526,7
3575,בית חורון,1228,0.609,7
3638,כפר אדומים,4145,0.622,7
3770,חשמונאים,2762,0.731,7
3787,נעלה,1573,0.782,7
3715,עלמון,1286,0.846,7
3644,גבעון החדשה,1151,1.007,8
3655,"ניל""י",1438,1.143,8
3796,כפר האורנים,2700,1.555,8
1056,"עין כרם-בי""ס חקלאי",165,-1.903,1
2039,קריית יערים (מוסד),265,-1.543,2
521,עין נקובא,3064,-1.181,2
514,עין ראפה,1079,-0.776,3
1134,יד השמונה,131,-0.538,3
10,תירוש,474,-0.411,4
465,צובה,651,-0.356,4
751,בית מאיר,775,-0.223,4
127,רמת רחל,450,-0.155,5
805,ישעי,738,-0.134,5
794,עגור,521,-0.034,5
1123,אדרת,869,0.039,5
816,זנוח,510,0.084,5
27,שדות מיכה,376,0.107,5
776,מחסיה,434,0.165,6
39,גפן,384,0.198,6
809,נחם,510,0.214,6
52,לוזית,653,0.23,6
1071,נווה מיכאל,544,0.28,6
740,אשתאול,1200,0.318,6
859,כסלון,429,0.368,6
796,צלפון,907,0.373,6
799,זכריה,1039,0.4,6
864,בקוע,665,0.42,6
59,נחושה,1240,0.439,6
778,תרום,802,0.447,6
823,בר גיורא,641,0.572,7
752,תעוז,609,0.59,7
567,צרעה,906,0.619,7
822,מטע,897,0.65,7
1079,צפרירים,371,0.707,7
783,אבן ספיר,740,0.707,7
780,אורה,1301,0.712,7
1070,אביעזר,847,0.754,7
693,"נתיב הל""ה",596,0.791,7
825,נס הרים,1286,0.809,7
78,קריית ענבים,466,0.951,7
771,מבוא ביתר,857,0.951,7
787,גבעת יערים,1386,0.979,8
464,הראל,247,0.993,8
777,נחשון,492,1.007,8
779,עמינדב,1083,1.061,8
286,מעלה החמישה,674,1.078,8
919,גבעת ישעיהו,796,1.124,8
742,מסילת ציון,1263,1.222,8
1113,צור הדסה,7392,1.233,8
1114,שריגים (לי-און),1011,1.252,8
364,כפר אוריה,927,1.256,8
672,בית נקופה,633,1.336,8
456,שורש,1013,1.339,8
460,רמת רזיאל,649,1.367,8
462,טל שחר,1287,1.39,8
208,מוצא עילית,940,1.427,8
710,בית זית,1631,1.528,8
1043,גיזו,188,1.581,8
405,נווה אילן,926,1.612,8
1254,נטף,378,1.618,8
1259,נווה שלום,265,1.752,9
741,שואבה,580,1.815,9
868,אלוני יצחק,294,-2.151,1
189,כפר פינס,994,-1.093,2
1316,אל-עריאן,178,-0.705,3
649,מייסר,1880,-0.483,3
72,גן שמואל,856,-0.377,4
2024,אום אל-קוטוף,1037,-0.337,4
1370,מצפה אילן,317,0.153,6
139,עין שמר,520,0.209,6
648,מצר,394,0.487,6
310,כפר גליקסון,273,0.764,7
444,רגבים,416,0.818,7
617,ברקאי,525,0.848,7
344,מענית,676,0.898,7
2055,מאור,1258,0.949,7
1243,קציר,2776,0.976,8
375,מגל,1057,1.094,8
2008,שדה יצחק,586,1.119,8
223,עין עירון,551,1.124,8
2003,תלמי אלעזר,765,1.288,8
213,משמרות,796,1.352,8
225,גן השומרון,803,1.528,8
1128,מי עמי,331,1.564,8
715,להבות חביבה,852,1.596,8
281,פקיעין חדשה,404,0.225,6
1184,מתת,192,0.235,6
795,יערה,712,0.353,6
603,אלקוש,318,0.565,7
892,עבדון,615,0.585,7
1045,שתולה,275,0.619,7
614,שומרה,341,0.692,7
1147,נטועה,277,0.723,7
1220,אבירים,194,0.734,7
662,חוסן,997,0.754,7
813,עין יעקב,987,0.756,7
1173,לפידות,121,0.765,7
1219,גורנות הגליל,168,0.794,7
1130,כפר רוזנואלד (זרעית),249,0.796,7
755,גורן,441,0.838,7
1206,גיתה,266,0.862,7
774,צוריאל,312,0.907,7
1205,מנות,402,0.969,8
1081,אבן מנחם,264,1.043,8
570,מעונה,968,1.077,8
1314,נווה זיו,857,1.288,8
1208,הילה,575,1.3,8
1294,אור הגנוז,454,-1.648,1
607,מירון,898,-1.262,2
1338,כדיתה,162,-1.146,2
1191,בר יוחאי,921,-0.685,3
546,עין אל-אסד,866,-0.561,3
688,עלמה,679,-0.336,4
368,בירייה,822,-0.179,5
431,דלתון,869,-0.12,5
1214,טפחות,464,-0.091,5
605,כפר שמאי,460,0.084,5
1115,אביבים,496,0.192,6
846,שפר,361,0.245,6
609,כפר חושן,714,0.305,6
540,ריחאנייה,1201,0.312,6
1064,אמירים,789,0.427,6
1067,"דוב""ב",478,0.56,7
1047,חזון,311,0.585,7
527,שזור,304,0.632,7
1230,לבנים,421,0.737,7
1229,כלנית,195,0.757,7
664,כרם בן זמרה,445,0.786,7
1297,כפר חנניה,669,0.793,7
599,פרוד,455,1.086,8
1212,עמוקה,125,1.883,9
709,תפרח,2156,-1.846,1
2021,אשל הנשיא,244,-1.687,1
2050,"תלמי ביל""ו",452,0.162,6
750,פדויים,471,0.173,6
2048,ניר עקיבא,702,0.204,6
749,פטיש,857,0.271,6
2059,"פעמי תש""ז",504,0.312,6
762,בטחה,721,0.37,6
736,גילת,1323,0.548,7
71,אשבול,490,0.551,7
2049,שדה צבי,588,0.558,7
789,רנן,608,0.656,7
1080,מבועים,1161,0.708,7
748,מסלול,778,0.782,7
414,קלחים,589,0.891,7
2047,ניר משה,527,1.099,8
1335,ערב אל נעים,733,-2.09,1
1317,דמיידה,463,-1.669,1
1332,חוסנייה,651,-1.362,2
1245,סלמה,3083,-1.286,2
1331,כמאנה,1415,-1.056,2
1334,ראס אל-עין,351,-0.991,2
1203,הררית,412,0.658,7
1178,מורשת,1424,0.735,7
1188,אשחר,790,0.821,7
1171,לוטם,694,0.869,7
1112,יודפת,710,0.897,7
1172,תובל,297,0.904,7
1163,מורן,427,1.01,8
1275,אבטליון,381,1.036,8
1272,חלוץ,464,1.088,8
1202,מכמנים,443,1.103,8
1201,כמון,1357,1.117,8
1209,חרשים,290,1.134,8
1180,צביה,310,1.248,8
1207,לבון,658,1.274,8
1235,שורשים,476,1.53,8
1181,טל-אל,1110,1.623,8
1222,"מצפה אבי""ב",978,1.624,9
1160,שכניה,740,1.635,9
1221,צורית,763,1.762,9
1174,מנוף,794,1.81,9
1228,רקפת,905,1.848,9
1179,קורנית,868,1.906,9
917,עצמון שגב,1069,1.919,9
1138,יעד,710,1.961,9
1226,יובלים,1081,1.966,9
1204,גילון,1082,2.078,9
1348,ביר הדאג',4583,-3.11,1
1347,קצר א-סר,1406,-2.367,1
1342,אבו קורינאת (יישוב),1218,-2.221,1
440,יסודות,907,-1.788,1
2033,בית חלקיה,888,-1.415,2
577,יד בנימין,3833,-0.217,4
1372,נצר חזני,377,0.18,6
588,בני ראם,1353,0.346,6
363,חפץ חיים,503,0.461,6
1371,גני טל,645,0.506,7
264,שער הגולן,558,-0.167,5
273,עין גב,631,-0.135,5
57,כנרת (קבוצה),671,-0.034,5
188,אשדות יעקב (מאוחד),496,0.065,5
143,בית זרע,547,0.166,6
374,חוקוק,539,0.184,6
176,אפיקים,1460,0.186,6
1105,פורייה - נווה עובד,1114,0.204,6
262,גינוסר,562,0.24,6
702,האון,184,0.28,6
678,מעגן,353,0.331,6
199,אשדות יעקב (איחוד),922,0.41,6
62,דגניה א',530,0.443,6
719,תל קציר,343,0.469,6
79,דגניה ב',643,0.502,7
263,מסדה,345,0.544,7
1104,פורייה - כפר עבודה,371,0.608,7
1313,פורייה עילית,909,0.867,7
330,אלומות,321,0.934,7
63,כנרת (מושבה),627,1.24,8
1125,אלמגור,349,1.468,8
304,שדה אליהו,686,-1.038,2
383,"עין הנצי""ב",609,-0.475,3
1282,מירב,670,-0.361,4
2016,רוויה,375,-0.244,4
268,טירת צבי,752,-0.231,4
439,שלוחות,473,0.028,5
298,מסילות,425,0.038,5
265,בית יוסף,433,0.098,5
296,נווה איתן,324,0.154,6
1127,מעלה גלבוע,671,0.161,6
854,רחוב,356,0.163,6
2026,ירדנה,344,0.224,6
1283,תל תאומים,513,0.405,6
48,מנחמיה,999,0.482,6
305,גשר,416,0.5,6
2057,שדי תרומות,433,0.505,7
256,ניר דוד (תל עמל),653,0.579,7
295,כפר רופין,404,0.595,7
590,נווה אור,330,0.689,7
343,חמדיה,396,0.707,7
437,רשפים,734,0.757,7
259,שדה נחום,569,0.77,7
272,מעוז חיים,461,0.81,7
1318,מבואות ים,481,-1.869,1
186,נעורים,248,-1.155,2
897,מדרשת רופין,480,-0.391,4
252,ביתן אהרן,361,-0.103,5
197,מעברות,962,0.119,5
217,"כפר הרא""ה",1390,0.312,6
224,שושנת העמקים,518,0.444,6
872,גאולי תימן,369,0.466,6
204,אלישיב,728,0.543,7
173,גבעת חיים (מאוחד),978,0.586,7
167,עין החורש,744,0.599,7
422,חרב לאת,850,0.62,7
194,משמר השרון,552,0.7,7
850,אחיטוב,1062,0.788,7
235,חבצלת השרון,553,0.793,7
2018,גבעת חיים (איחוד),1057,0.873,7
1319,בת חפר,5448,1.129,8
2043,בחן,931,1.138,8
377,המעפיל,796,1.142,8
698,בורגתה,1128,1.18,8
423,העוגן,844,1.187,8
